time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_pH,SIL_rsi,CAR_ch4,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP
2015-07-07,0,24.7899,0,251.1737,1.0822,0.16555,0.1002,5.203516500000001,166.1628,9.7171,0.8816,7.9346,1.7632,-0.002,-0.018,-0.0467,70.1763,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-08,0,25.2264,0,249.778,0.5476,0.33845,0.13485,9.614556,307.0198,17.9544,0.4336,3.902,0.8671,0.0162,0.1461,0.3787,85.3502,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-09,0,25.8726,0,247.7367,0.403,0.26215,0,11.588062500000001,370.0392,21.6397,0.6187,5.5683,1.2374,0.0126,0.1137,0.2948,44.0746,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-10,0,25.9557,0,247.4767,0.7116,0.2072,0.0531,6.746418,215.4314,12.5983,0.6557,5.9011,1.3113,0.0047,0.0427,0.1106,54.8401,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-11,0.28321999999999997,25.7013,0,248.2753,0.7957,0.34265,0.1605,2.38014,76.0045,4.4447,0.8122,7.31,1.6244,-0.0032,-0.0289,-0.0749,71.0393,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-12,0.21938,25.2429,0,249.7253,0.3841,0.49874999999999997,0.10155,11.542041,368.5695,21.5538,1.2565,11.3084,2.513,0.0571,0.5137,1.3319,35.575,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-13,3.18626,25.0965,0,250.1917,0,0.25585,0.0633,15.679975500000001,500.7055,29.281,0.5089,4.5804,1.0179,0.0149,0.1344,0.3483,58.2205,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-14,4.16682,26.3955,0,246.1065,0.3843,0.2821,0.0618,7.7984865,249.0276,14.563,1.3413,12.0714,2.6825,0.0242,0.2181,0.5656,50.5565,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-15,3.07552,25.92705,0,247.5663,1.0453,0.61355,0.05925,7.0763805,225.9689,13.2146,0.1569,1.4118,0.3137,0.037,0.3334,0.8645,58.3238,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-16,2.15292,25.7874,0,248.0045,0.6593,0.52255,0.1161,8.506323,271.63,15.8848,0.9932,8.939,1.9864,0.0526,0.4733,1.2271,27.7021,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-17,1.5069599999999999,25.85295,0,247.7985,0.8118,0.20579999999999998,0,8.8816455,283.6159,16.5857,0.4629,4.1665,0.9259,0.0101,0.0905,0.2347,51.4666,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-18,1.8016599999999998,26.91525,0,244.504,0.6425,0.2891,0.05235,14.4328275,460.8798,26.952,0.4306,3.8752,0.8612,0.0502,0.4514,1.1702,45.171,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-19,1.26112,28.10835,0,240.8943,0.6442,0.54845,0,11.377579500000001,363.3177,21.2466,0.6273,5.6453,1.2545,0.041,0.3692,0.9573,73.2375,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-20,0.88284,28.3233,0,240.2536,0.5984,0.07350000000000001,0,9.950913,317.7604,18.5825,1.0012,9.0108,2.0024,0.0216,0.194,0.5029,86.9484,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-21,0.65142,27.58545,0,242.4648,0.5884,0.1281,0.056850000000000005,13.390398,427.5922,25.0054,0.547,4.923,1.094,0.0373,0.3357,0.8702,48.8872,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-22,0.45597999999999994,26.0787,0,247.0918,1.3481,0.25515000000000004,0.1359,3.3203835,106.0292,6.2005,-0.0068,-0.0613,-0.0136,0.051,0.4591,1.1903,33.1954,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-23,0.3192,25.10475,0,250.1658,0,0,0.0546,9.328725,297.8917,17.4206,0.7998,7.1982,1.5996,0.048,0.4319,1.1198,32.2785,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-24,0.22343999999999997,25.55715,0,248.7295,0.166,0.1771,0,4.932112500000001,157.4965,9.2103,0.5161,4.6453,1.0323,0.022,0.198,0.5133,50.0128,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-25,0.15638,25.7148,0,248.2325,0.8993,0.3339,0.02715,5.2243695,166.8284,9.756,0.5285,4.7569,1.0571,0.0418,0.3759,0.9746,60.0832,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-26,0.10948,26.08815,0,247.0626,0.5458,0.49944999999999995,0,5.208808500000001,166.3316,9.727,1.0054,9.0484000000000009,2.0108,0.0393,0.3541,0.9181,74.8937,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
